Time,temperature
12:42:14,25.87
12:42:15,24.90
12:42:16,25.39
12:42:17,25.87
12:42:18,25.39
12:42:19,26.36
12:42:20,25.39
12:42:21,25.87
12:42:22,24.90
12:42:23,25.39
12:42:24,24.90
12:42:25,25.39
12:42:26,24.90
12:42:27,25.39
12:42:28,26.36
12:42:29,25.39
12:42:30,24.41
12:42:31,24.90
12:42:32,26.36
12:42:33,24.90
12:42:34,25.39
12:42:35,24.90
12:42:36,25.39
12:42:37,25.39
12:42:38,26.36
12:42:39,25.39
12:42:40,25.39
12:42:41,25.39
12:42:42,25.39
12:42:43,25.39
12:42:44,25.39
12:42:45,26.36
12:42:46,25.87
12:42:47,26.36
12:42:48,25.39
12:42:49,26.36
12:42:50,25.39
12:42:51,25.39
12:42:52,24.90
12:42:53,25.39
12:42:54,26.36
12:42:55,25.39
12:42:56,25.39
12:42:57,25.39
12:42:58,25.87
12:42:59,25.39
12:43:0,25.39
12:43:1,24.90
12:43:2,25.39
12:43:4,25.39
12:43:5,25.39
12:43:6,24.90
12:43:7,25.87
12:43:8,24.90
12:43:9,25.39
12:43:10,24.90
12:43:11,25.39
12:43:12,25.39
12:43:13,24.90
12:43:14,25.39
12:43:15,25.39
12:43:16,25.87
12:43:17,24.90
12:43:18,25.39
12:43:19,24.90
12:43:20,26.36
12:43:21,24.90
12:43:22,26.36
12:43:23,25.39
12:43:24,25.87
12:43:25,24.90
12:43:26,25.39
12:43:27,25.39
12:43:28,25.39
12:43:29,24.90
12:43:30,24.90
12:43:31,25.39
12:43:32,24.90
12:43:33,25.39
12:43:34,25.39
12:43:35,26.36
12:43:36,24.90
12:43:37,25.87
12:43:38,24.90
12:43:39,25.87
12:43:40,24.90
12:43:41,26.36
12:43:42,24.90
12:43:43,25.39
12:43:44,24.90
12:43:45,25.87
12:43:46,24.90
12:43:47,25.39
12:43:48,24.41
12:43:49,25.39
12:43:50,24.41
12:43:51,24.90
12:43:52,24.41
12:43:53,24.90
12:43:54,25.39
12:43:55,25.39
12:43:56,24.41
12:43:57,24.90
12:43:58,25.39
12:43:59,24.90
12:44:0,25.39
12:44:1,24.90
12:44:2,25.39
12:44:3,24.90
12:44:4,25.39
12:44:5,24.41
12:44:6,25.39
12:44:7,24.90
12:44:8,25.87
12:44:9,24.90
12:44:10,25.39
12:44:11,24.90
12:44:12,25.39
12:44:13,24.41
12:44:14,24.90
12:44:15,25.39
12:44:16,25.39
12:44:17,25.39
12:44:18,24.90
12:44:19,25.87
12:44:20,26.36
12:44:21,26.36
12:44:22,25.39
12:44:23,25.39
12:44:24,24.90
12:44:25,25.39
12:44:26,24.90
12:44:27,26.36
12:44:28,25.39
12:44:29,26.36
12:44:30,25.39
12:44:31,25.87
12:44:32,24.90
12:44:33,25.87
12:44:34,25.39
12:44:35,26.36
12:44:36,24.90
12:44:37,25.87
12:44:38,24.41
12:44:39,25.87
12:44:40,24.90
12:44:41,25.39
12:44:42,25.39
12:44:43,25.87
12:44:44,25.39
12:44:45,24.90
12:44:46,25.39
12:44:47,25.39
12:44:48,25.87
12:44:49,25.39
12:44:50,25.39
12:44:51,24.90
12:44:52,25.87
12:44:53,24.90
