CPUID:,0x200F31
Processor:,Mobile AMD Turion X2 RM-74 (Griffin)
Platform:,Socket S1g2 (638 pin)
Revision:,LG-B1
Lithography:,65nm

Session start:,12:29:35 - July 16 - 2011

Time,CPU 0 Temp. (°),,CPU 0,Low temp. (°),High temp. (°),Core load (%),CPU speed (MHz),
12:33:14,57,,,55,80,26,549.99,
12:33:15,56,,,55,80,31,549.99,
12:33:16,56,,,55,80,32,549.99,
12:33:17,56,,,55,80,40,549.99,
12:33:18,57,,,55,80,46,549.99,
12:33:19,56,,,55,80,23,549.99,
12:33:20,56,,,55,80,17,549.99,
12:33:21,56,,,55,80,26,549.99,
12:33:22,56,,,55,80,12,549.99,
12:33:23,56,,,55,80,18,549.99,
12:33:24,56,,,55,80,6,549.99,
12:33:25,56,,,55,80,12,549.99,
12:33:26,58,,,55,80,25,549.99,
12:33:27,57,,,55,80,11,549.99,
12:33:28,57,,,55,80,12,549.99,
12:33:29,57,,,55,80,26,549.99,
12:33:30,57,,,55,80,18,549.99,
12:33:32,57,,,55,80,11,549.99,
12:33:33,57,,,55,80,9,549.99,
12:33:34,57,,,55,80,17,549.99,
12:33:35,57,,,55,80,3,549.99,
12:33:36,56,,,55,80,17,549.99,
12:33:37,56,,,55,80,12,549.99,
12:33:38,56,,,55,80,22,549.99,
12:33:39,56,,,55,80,12,549.99,
12:33:40,56,,,55,80,12,549.99,
12:33:41,56,,,55,80,22,549.99,
12:33:42,56,,,55,80,17,549.99,
12:33:43,56,,,55,80,11,549.99,
12:33:44,56,,,55,80,14,549.99,
12:33:45,56,,,55,80,23,549.99,
12:33:46,56,,,55,80,14,549.99,
12:33:47,56,,,55,80,12,549.99,
12:33:48,56,,,55,80,9,549.99,
12:33:49,56,,,55,80,14,549.99,
12:33:50,56,,,55,80,12,549.99,
12:33:51,56,,,55,80,9,549.99,
12:33:52,56,,,55,80,9,549.99,
12:33:53,56,,,55,80,51,549.99,
12:33:54,56,,,55,80,17,549.99,
12:33:55,56,,,55,80,23,549.99,
12:33:56,56,,,55,80,14,549.99,
12:33:57,56,,,55,80,28,549.99,
12:33:58,56,,,55,80,12,549.99,
12:33:59,57,,,55,80,25,549.99,
12:34:00,57,,,55,80,20,549.99,
12:34:01,57,,,55,80,34,549.99,
12:34:02,57,,,55,80,9,549.99,
12:34:03,57,,,55,80,38,549.99,
12:34:04,57,,,55,80,14,549.99,
12:34:05,57,,,55,80,32,549.99,
12:34:06,56,,,55,80,20,549.99,
12:34:07,56,,,55,80,14,549.99,
12:34:08,56,,,55,80,17,549.99,
12:34:09,57,,,55,80,42,549.99,
12:34:10,57,,,55,80,52,549.99,
12:34:11,57,,,55,80,48,549.99,
12:34:12,57,,,55,80,20,549.99,
12:34:13,57,,,55,80,11,549.99,
12:34:14,57,,,55,80,22,549.99,
12:34:15,57,,,55,80,17,549.99,
12:34:16,57,,,55,80,28,549.99,
12:34:17,57,,,55,80,15,549.99,
12:34:18,56,,,55,80,10,549.99,
12:34:19,56,,,55,80,25,549.99,
12:34:20,56,,,55,80,14,549.99,
12:34:21,56,,,55,80,23,549.99,
12:34:22,57,,,55,80,32,549.99,
12:34:23,56,,,55,80,14,549.99,
12:34:24,56,,,55,80,5,549.99,
12:34:25,56,,,55,80,3,549.99,
12:34:26,56,,,55,80,12,549.99,
12:34:27,56,,,55,80,2,549.99,
12:34:28,56,,,55,80,3,549.99,
12:34:29,56,,,55,80,3,549.99,
12:34:30,56,,,55,80,8,549.99,
12:34:31,56,,,55,80,5,549.99,
12:34:32,56,,,55,80,5,549.99,
12:34:33,56,,,55,80,2,549.99,
12:34:34,55,,,55,80,5,549.99,
12:34:35,55,,,55,80,2,549.99,
12:34:36,55,,,55,80,0,549.99,
12:34:37,55,,,55,80,3,549.99,
12:34:38,55,,,55,80,2,549.99,
12:34:39,55,,,55,80,5,549.99,
12:34:40,56,,,55,80,12,549.99,
12:34:41,56,,,55,80,14,549.99,
12:34:42,55,,,55,80,3,549.99,
12:34:44,55,,,55,80,3,549.99,
12:34:45,56,,,55,80,0,549.99,
12:34:46,56,,,55,80,2,549.99,
12:34:47,56,,,55,80,3,549.99,
12:34:48,56,,,55,80,5,549.99,
12:34:49,56,,,55,80,2,549.99,
12:34:50,55,,,55,80,2,549.99,
12:34:51,56,,,55,80,11,549.99,
12:34:52,55,,,55,80,2,549.99,
12:34:53,55,,,55,80,2,549.99,
12:34:54,55,,,55,80,6,549.99,
12:34:55,55,,,55,80,2,549.99,
12:34:56,56,,,55,80,2,549.99,
12:34:57,55,,,55,80,2,549.99,
12:34:58,55,,,55,80,6,549.99,
12:34:59,56,,,55,80,5,549.99,
12:35:00,56,,,55,80,3,549.99,
12:35:01,56,,,55,80,8,549.99,
12:35:02,56,,,55,80,2,549.99,
12:35:03,55,,,55,80,2,549.99,
12:35:04,55,,,55,80,2,549.99,
12:35:05,55,,,55,80,3,549.99,
12:35:06,55,,,55,80,3,549.99,
12:35:07,55,,,55,80,2,549.99,
12:35:08,55,,,55,80,2,549.99,
12:35:09,55,,,55,80,3,549.99,
12:35:10,55,,,55,80,2,549.99,
12:35:11,55,,,55,80,8,549.99,
12:35:12,55,,,55,80,2,549.99,
12:35:13,55,,,55,80,2,549.99,
12:35:14,55,,,55,80,3,549.99,
12:35:15,55,,,55,80,8,549.99,
12:35:16,55,,,55,80,3,549.99,
12:35:17,55,,,55,80,6,549.99,
12:35:18,55,,,55,80,5,549.99,
12:35:19,56,,,55,80,3,549.99,
12:35:20,56,,,55,80,3,549.99,
12:35:21,56,,,55,80,6,549.99,
12:35:22,56,,,55,80,2,549.99,
12:35:23,55,,,55,80,3,549.99,
12:35:24,55,,,55,80,2,549.99,
12:35:25,55,,,55,80,2,549.99,
12:35:26,55,,,55,80,3,549.99,
12:35:27,55,,,55,80,5,549.99,
12:35:28,55,,,55,80,5,549.99,
12:35:29,55,,,55,80,3,549.99,
12:35:30,55,,,55,80,8,549.99,
12:35:31,55,,,55,80,6,549.99,
12:35:32,55,,,55,80,3,549.99,
12:35:33,55,,,55,80,3,549.99,
12:35:34,55,,,55,80,5,549.99,
12:35:35,55,,,55,80,2,549.99,
12:35:36,55,,,55,80,5,549.99,
12:35:37,55,,,55,80,3,549.99,
12:35:38,55,,,55,80,0,549.99,
12:35:39,55,,,55,80,3,549.99,
12:35:40,55,,,55,80,3,549.99,
12:35:41,55,,,55,80,2,549.99,
12:35:42,55,,,55,80,3,549.99,
12:35:43,55,,,55,80,9,549.99,
12:35:44,55,,,55,80,3,549.99,
12:35:45,55,,,55,80,5,549.99,
12:35:46,55,,,55,80,0,549.99,
12:35:47,55,,,55,80,8,549.99,
12:35:48,55,,,55,80,3,549.99,
12:35:49,55,,,55,80,6,549.99,
12:35:50,54,,,54,80,9,549.99,
12:35:51,55,,,54,80,5,549.99,
12:35:52,55,,,54,80,6,549.99,
12:35:53,55,,,54,80,3,549.99,
12:35:54,55,,,54,80,5,549.99,
12:35:55,55,,,54,80,0,549.99,
12:35:57,55,,,54,80,0,549.99,
12:35:58,55,,,54,80,0,549.99,
12:35:59,55,,,54,80,2,549.99,
12:36:00,55,,,54,80,0,549.99,
12:36:01,55,,,54,80,6,549.99,
12:36:02,55,,,54,80,5,549.99,
12:36:03,55,,,54,80,3,549.99,
12:36:04,55,,,54,80,6,549.99,
12:36:05,55,,,54,80,3,549.99,
12:36:06,55,,,54,80,0,549.99,
12:36:07,55,,,54,80,3,549.99,
12:36:08,55,,,54,80,2,549.99,
12:36:09,55,,,54,80,5,549.99,
12:36:10,55,,,54,80,6,549.99,
12:36:11,55,,,54,80,0,549.99,
12:36:12,55,,,54,80,3,549.99,
12:36:13,55,,,54,80,3,549.99,
12:36:14,55,,,54,80,2,549.99,
12:36:15,55,,,54,80,3,549.99,
12:36:16,55,,,54,80,3,549.99,
12:36:17,55,,,54,80,9,549.99,
12:36:18,55,,,54,80,6,549.99,
12:36:19,55,,,54,80,20,549.99,
12:36:20,55,,,54,80,34,549.99,
12:36:21,56,,,54,80,15,549.99,
12:36:22,55,,,54,80,14,549.99,
12:36:23,55,,,54,80,11,549.99,
12:36:24,55,,,54,80,12,549.99,
12:36:25,55,,,54,80,8,549.99,
12:36:26,55,,,54,80,3,549.99,
12:36:27,55,,,54,80,15,549.99,
12:36:28,56,,,54,80,23,549.99,
12:36:29,57,,,54,80,23,549.99,
12:36:30,56,,,54,80,20,549.99,
12:36:31,56,,,54,80,26,549.99,
12:36:32,56,,,54,80,23,549.99,
12:36:33,56,,,54,80,22,549.99,
12:36:34,56,,,54,80,8,549.99,
12:36:35,56,,,54,80,3,549.99,
12:36:36,56,,,54,80,0,549.99,
12:36:37,56,,,54,80,0,549.99,
12:36:38,55,,,54,80,2,549.99,
12:36:39,55,,,54,80,2,549.99,
12:36:40,55,,,54,80,2,549.99,
12:36:41,55,,,54,80,11,549.99,
12:36:42,55,,,54,80,0,549.99,
12:36:43,55,,,54,80,0,549.99,
12:36:44,55,,,54,80,0,549.99,
12:36:45,55,,,54,80,2,549.99,
12:36:46,55,,,54,80,2,549.99,
12:36:47,55,,,54,80,0,549.99,
12:36:48,55,,,54,80,3,549.99,
12:36:49,54,,,54,80,0,549.99,
12:36:50,55,,,54,80,5,549.99,
12:36:51,55,,,54,80,3,549.99,
12:36:52,55,,,54,80,8,549.99,
12:36:53,55,,,54,80,2,549.99,
12:36:54,55,,,54,80,5,549.99,
12:36:55,55,,,54,80,8,549.99,
12:36:56,55,,,54,80,8,549.99,
12:36:57,55,,,54,80,38,1099.98,
12:36:58,57,,,54,80,3,549.99,
12:36:59,56,,,54,80,66,549.99,
12:37:00,57,,,54,80,72,549.99,
12:37:01,57,,,54,80,52,549.99,
12:37:02,57,,,54,80,17,549.99,
12:37:03,59,,,54,80,74,1099.98,
12:37:04,58,,,54,80,71,1099.98,
12:37:05,58,,,54,80,38,549.99,
12:37:06,58,,,54,80,35,549.99,
12:37:07,58,,,54,80,37,549.99,
