Unique ID, Manufacturer, Chemistry, Voltage (Volts)
 Hewlett-PackardPrimary, Hewlett-Packard, Nickel Metal Hydride, 12.53

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2011-07-01, 15:39:14, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:15, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:16, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:17, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:18, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:19, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:20, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:21, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:22, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:23, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:24, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:25, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:26, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:27, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:28, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:29, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:30, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:31, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:32, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:33, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:34, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:35, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:36, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:37, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:38, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:39, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:40, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:41, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:42, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:43, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:44, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:45, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:46, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:47, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:48, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:49, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:50, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:51, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:52, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:53, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:54, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:56, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:57, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:58, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:39:59, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:00, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:01, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:02, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:03, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:04, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:05, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:06, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:07, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:08, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:09, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:10, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:11, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:12, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:13, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:14, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:15, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:16, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:17, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:18, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:19, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:20, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:21, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:22, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:23, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:24, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:25, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:26, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:27, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:28, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:29, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:30, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:31, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:32, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:33, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:34, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:35, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:36, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:37, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:38, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
2011-07-01, 15:40:39, OK, 100%, 0.00, -1, 0, , 12.44, , 113.6%, , , , , , , , , , , , 
