CPUID:,0x20652,,,,,,,,,,,,
Processor:,Mobile Intel Core i5 520M (Arrandale),,,,,,,,,,,,
Platform:,LGA 1156 (Socket H),,,,,,,,,,,,
Revision:,C2,,,,,,,,,,,,
Lithography:,32nm,,,,,,,,,,,,
,,,,,,,,,,,,,
Session start:,19:18:59 - July 16 - 2011,,,,,,,,,,,,
,,,,,,,,,,,,,
Time,Core 0 Temp. (°),Core 1 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz)
19:21:57,48,45,,,43,59,1,1463,,40,55,1,1463
19:21:58,46,45,,,43,59,2,1529.5,,40,55,1,1529.5
19:21:59,48,44,,,43,59,1,1463,,40,55,1,1463
19:22:00,47,43,,,43,59,0,1529.5,,40,55,2,1529.5
19:22:01,46,44,,,43,59,1,1529.5,,40,55,0,1529.5
19:22:02,46,44,,,43,59,1,1463,,40,55,2,1463
19:22:03,47,43,,,43,59,1,1463,,40,55,4,1463
19:22:04,46,44,,,43,59,3,1529.5,,40,55,2,1529.5
19:22:05,48,44,,,43,59,2,1463,,40,55,2,1463
19:22:06,47,45,,,43,59,1,1529.5,,40,55,2,1529.5
19:22:07,46,44,,,43,59,1,1463,,40,55,2,1463
19:22:08,46,45,,,43,59,4,1463,,40,55,1,1529.5
19:22:09,47,44,,,43,59,0,1529.5,,40,55,0,1529.5
19:22:10,46,46,,,43,59,2,1529.5,,40,55,8,1529.5
19:22:11,46,47,,,43,59,1,1529.5,,40,55,1,1463
19:22:12,46,44,,,43,59,1,1529.5,,40,55,1,1529.5
19:22:13,46,45,,,43,59,4,1463,,40,55,2,1529.5
19:22:14,47,46,,,43,59,1,1463,,40,55,2,1463
19:22:15,46,46,,,43,59,1,1529.5,,40,55,2,1529.5
19:22:16,48,45,,,43,59,0,1463,,40,55,5,1529.5
19:22:17,47,43,,,43,59,2,1463,,40,55,1,1463
19:22:18,56,60,,,43,59,20,2660,,40,60,29,2327.5
19:22:19,57,59,,,43,59,30,2660,,40,60,20,2261
19:22:20,55,66,,,43,59,17,2660,,40,66,34,2460.5
19:22:21,63,56,,,43,63,13,2660,,40,66,36,2793
19:22:22,64,53,,,43,64,32,2660,,40,66,17,2261
19:22:23,65,53,,,43,65,47,2859.5,,40,66,2,1862
19:22:24,56,68,,,43,65,4,2660,,40,68,46,2726.5
19:22:25,56,67,,,43,65,23,2660,,40,68,26,2460.5
19:22:26,57,68,,,43,65,27,2660,,40,68,24,2394
19:22:27,65,56,,,43,65,25,2726.5,,40,68,24,2460.5
19:22:28,61,59,,,43,65,37,2793,,40,68,12,2194.5
19:22:29,67,55,,,43,67,41,2726.5,,40,68,8,2128
19:22:30,57,70,,,43,67,5,2726.5,,40,70,45,2593.5
19:22:31,59,67,,,43,67,45,2793,,40,70,4,2061.5
19:22:32,68,56,,,43,68,48,2859.5,,40,70,2,1928.5
19:22:33,67,57,,,43,68,47,2859.5,,40,70,3,1928.5
19:22:34,67,58,,,43,68,34,2793,,40,70,17,2128
19:22:35,64,60,,,43,68,13,2726.5,,40,70,37,2527
19:22:36,58,71,,,43,68,22,2726.5,,40,71,27,2460.5
19:22:37,68,57,,,43,68,47,2726.5,,40,71,4,2261
19:22:39,59,71,,,43,68,12,2793,,40,71,37,2327.5
19:22:40,69,57,,,43,69,50,2793,,40,71,0,2261
19:22:41,68,59,,,43,69,20,2726.5,,40,71,30,2261
19:22:42,69,58,,,43,69,46,2793,,40,71,4,2061.5
19:22:43,69,58,,,43,69,20,2726.5,,40,71,30,2527
19:22:44,69,58,,,43,69,44,2793,,40,71,6,2061.5
19:22:45,66,64,,,43,69,42,2859.5,,40,71,8,1862
19:22:46,60,73,,,43,69,25,2726.5,,40,73,24,2128
19:22:47,60,73,,,43,69,6,2660,,40,73,47,2726.5
19:22:48,60,73,,,43,69,11,2660,,40,73,38,2593.5
19:22:49,61,73,,,43,69,30,2660,,40,73,20,2261
19:22:50,70,59,,,43,70,47,2793,,40,73,3,2194.5
19:22:51,61,73,,,43,70,37,2793,,40,73,13,1795.5
19:22:52,64,65,,,43,70,29,2859.5,,40,73,23,2527
19:22:53,69,58,,,43,70,38,2726.5,,40,73,6,2128
19:22:54,65,64,,,43,70,48,2593.5,,40,73,1,2061.5
19:22:55,69,67,,,43,70,21,2726.5,,40,73,41,2460.5
19:23:18,73,61,,,43,73,45,2726.5,,40,76,13,2261
19:23:19,73,61,,,43,73,49,2859.5,,40,76,0,2261
19:23:20,73,62,,,43,73,18,2660,,40,76,35,2394
19:23:21,65,76,,,43,73,23,2660,,40,76,28,2527
19:23:22,74,61,,,43,74,37,2660,,40,76,15,2527
19:23:23,65,75,,,43,74,44,2726.5,,40,76,7,2460.5
19:23:24,74,62,,,43,74,23,2726.5,,40,76,27,2527
19:23:25,73,63,,,43,74,22,2660,,40,76,29,2593.5
19:23:26,73,64,,,43,74,20,2660,,40,76,34,2527
19:23:27,66,76,,,43,74,9,2593.5,,40,76,43,2793
19:23:28,58,56,,,43,74,4,1928.5,,40,76,11,1795.5
19:23:29,58,55,,,43,74,3,1529.5,,40,76,4,1596
19:23:30,57,54,,,43,74,5,1596,,40,76,1,1529.5
19:23:31,57,56,,,43,74,7,1729,,40,76,4,1662.5
19:23:32,62,56,,,43,74,3,1862,,40,76,13,1662.5
19:23:33,65,56,,,43,74,13,1862,,40,76,11,1795.5
19:23:34,67,57,,,43,74,21,2061.5,,40,76,5,1862
19:23:35,68,58,,,43,74,18,2128,,40,76,11,1862
19:23:36,68,58,,,43,74,25,2128,,40,76,0,1729
19:23:37,69,58,,,43,74,14,2061.5,,40,76,13,1795.5
19:23:38,62,62,,,43,74,7,2061.5,,40,76,19,1862
19:23:39,69,58,,,43,74,13,2061.5,,40,76,16,1862
19:23:40,70,58,,,43,74,11,2061.5,,40,76,14,1862
19:23:41,69,58,,,43,74,7,2061.5,,40,76,21,1862
19:23:42,66,61,,,43,74,14,2061.5,,40,76,12,1795.5
19:23:43,70,58,,,43,74,25,2061.5,,40,76,4,1862
19:23:44,69,58,,,43,74,10,2061.5,,40,76,16,1862
19:23:45,70,59,,,43,74,10,2061.5,,40,76,17,1995
19:23:46,62,70,,,43,74,16,2061.5,,40,76,11,1995
19:23:47,69,61,,,43,74,9,2061.5,,40,76,20,1862
19:23:48,62,73,,,43,74,8,2061.5,,40,76,17,2061.5
19:23:49,69,69,,,43,74,20,2128,,40,76,10,1928.5
19:23:50,70,70,,,43,74,17,2061.5,,40,76,15,1995
19:23:52,67,71,,,43,74,16,1995,,40,76,17,1862
19:23:53,70,71,,,43,74,20,1995,,40,76,17,1862
19:23:54,70,72,,,43,74,19,1995,,40,76,23,1862
19:23:55,68,73,,,43,74,22,1995,,40,76,24,1995
19:23:56,70,72,,,43,74,25,2261,,40,76,27,2194.5
19:23:57,71,73,,,43,74,22,2261,,40,76,30,2194.5
19:23:58,71,73,,,43,74,25,2194.5,,40,76,25,2194.5
19:23:59,72,73,,,43,74,25,2261,,40,76,26,2194.5
19:24:00,71,74,,,43,74,17,2261,,40,76,33,2194.5
19:24:01,72,74,,,43,74,28,2261,,40,76,24,2128
19:24:02,72,73,,,43,74,26,2261,,40,76,26,1928.5
19:24:03,72,74,,,43,74,22,2261,,40,76,29,1995
19:24:04,73,74,,,43,74,27,2261,,40,76,23,2061.5
19:24:05,73,75,,,43,74,26,2261,,40,76,26,2194.5
19:24:06,73,75,,,43,74,25,2261,,40,76,26,2194.5
19:24:07,71,75,,,43,74,20,2261,,40,76,31,2194.5
19:24:08,72,74,,,43,74,17,2194.5,,40,76,34,2261
19:24:09,69,75,,,43,74,20,2194.5,,40,76,30,1995
19:24:10,68,74,,,43,74,29,2261,,40,76,22,1928.5
19:24:11,73,65,,,43,74,26,2194.5,,40,76,26,2194.5
19:24:12,71,67,,,43,74,23,2128,,40,76,28,2261
19:24:13,73,75,,,43,74,25,2194.5,,40,76,30,2261
19:24:14,74,75,,,43,74,27,2327.5,,40,76,31,2394
19:24:15,70,77,,,43,74,18,2327.5,,40,77,42,2394
19:24:16,75,75,,,43,75,37,2327.5,,40,77,29,2394
19:24:17,73,76,,,43,75,26,2394,,40,77,47,2261
19:24:18,75,76,,,43,75,38,2527,,40,77,38,2394
19:24:19,76,76,,,43,76,40,2726.5,,40,77,35,2593.5
19:24:20,70,78,,,43,76,36,2660,,40,78,41,2660
19:24:21,75,76,,,43,76,37,2527,,40,78,34,2660
19:24:22,76,75,,,43,76,36,2527,,40,78,34,2460.5
