Seconds	System	CPU	AUX	HD0	Core 0	Core 1	3Vsb	Vbat	Vcore	+12V	AVcc	3Vcc
54340	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54343	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54346	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54349	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54352	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54356	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54359	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54362	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54365	43.0	43.0	46.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54368	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54371	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54374	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54377	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54380	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54383	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54386	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54389	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54392	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54395	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54398	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54401	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54404	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54407	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54411	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54414	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54417	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54420	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54423	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54426	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54429	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54432	43.0	43.0	44.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54435	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54438	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54441	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54444	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54447	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54450	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54453	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54456	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54460	43.0	43.0	43.5	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54463	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54466	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54469	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
54472	43.0	43.0	44.0	39.0	43.0	36.0	3.34	3.22	1.09	7.18	3.36	3.36
