Seconds	System	CPU	AUX	HD0	Core 0	Core 1	3Vsb	Vbat	Vcore	+12V	AVcc	3Vcc
64700	30.0	30.0	40.0	32.0	30.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64703	30.0	30.0	40.0	32.0	30.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64706	38.0	38.0	41.5	32.0	38.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64709	33.0	33.0	42.0	32.0	35.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64712	31.0	31.0	41.0	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64715	31.0	31.0	40.5	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64718	31.0	31.0	40.5	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64721	30.0	30.0	40.5	32.0	30.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64725	31.0	31.0	40.0	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64728	30.0	30.0	40.0	32.0	30.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64731	31.0	31.0	40.0	32.0	30.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64734	30.0	30.0	40.5	32.0	30.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64737	30.0	30.0	40.0	32.0	30.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64740	30.0	30.0	40.0	32.0	30.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64743	31.0	31.0	40.0	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64746	30.0	30.0	40.0	32.0	30.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64749	30.0	30.0	40.0	32.0	30.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64752	30.0	30.0	40.5	32.0	30.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64755	30.0	30.0	40.0	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64758	30.0	30.0	40.0	32.0	30.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64761	30.0	30.0	40.0	32.0	30.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64764	30.0	30.0	40.5	32.0	30.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64767	30.0	30.0	40.0	32.0	30.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64770	30.0	30.0	40.0	32.0	30.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64773	39.0	39.0	42.5	32.0	39.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
64777	32.0	32.0	41.5	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64780	31.0	31.0	40.0	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64783	31.0	31.0	40.0	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64786	31.0	31.0	40.0	32.0	30.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64789	31.0	31.0	40.0	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64792	30.0	30.0	40.0	32.0	30.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64795	30.0	30.0	40.5	32.0	30.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64798	30.0	30.0	40.0	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64801	30.0	30.0	40.0	32.0	30.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64804	30.0	30.0	40.0	32.0	30.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64807	30.0	30.0	40.0	32.0	30.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64810	30.0	30.0	40.0	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64813	30.0	30.0	40.0	32.0	30.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64816	31.0	31.0	40.5	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64819	30.0	30.0	40.0	32.0	30.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64822	31.0	31.0	40.5	32.0	30.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64825	31.0	31.0	40.0	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64828	31.0	31.0	40.0	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64832	31.0	31.0	40.5	32.0	30.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64835	31.0	31.0	40.0	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64838	34.0	34.0	42.0	32.0	38.0	31.0	3.33	3.26	1.26	8.4	3.34	3.34
64841	37.0	37.0	44.5	32.0	34.0	30.0	3.33	3.26	1.26	8.4	3.34	3.34
64844	31.0	31.0	40.5	32.0	31.0	30.0	3.33	3.26	1.26	8.4	3.34	3.34
64847	31.0	31.0	40.5	32.0	31.0	30.0	3.33	3.26	1.26	8.4	3.34	3.34
64850	31.0	31.0	40.5	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64853	30.0	30.0	40.0	32.0	30.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64856	31.0	31.0	40.0	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64859	31.0	31.0	40.0	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64862	31.0	31.0	40.0	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64865	30.0	30.0	40.0	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64868	31.0	31.0	40.0	32.0	30.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64871	31.0	31.0	40.0	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64874	30.0	30.0	40.5	32.0	30.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64877	31.0	31.0	40.0	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64880	31.0	31.0	40.0	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64884	31.0	31.0	40.0	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64887	31.0	31.0	40.0	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64890	31.0	31.0	40.0	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64893	31.0	31.0	40.0	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64896	31.0	31.0	40.0	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64899	31.0	31.0	40.0	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64902	31.0	31.0	40.5	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64905	40.0	40.0	42.5	32.0	40.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
64908	31.0	31.0	40.5	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64911	31.0	31.0	40.5	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64914	31.0	31.0	40.5	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64917	31.0	31.0	40.0	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64920	31.0	31.0	40.5	32.0	30.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64923	31.0	31.0	40.0	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64926	31.0	31.0	40.5	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64929	31.0	31.0	40.5	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64932	31.0	31.0	40.5	32.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64936	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64939	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64942	31.0	31.0	40.0	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64945	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64948	31.0	31.0	40.0	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64951	31.0	31.0	40.0	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64954	31.0	31.0	40.0	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64957	31.0	31.0	40.0	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64960	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64963	31.0	31.0	40.0	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64966	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64969	38.0	38.0	43.5	33.0	40.0	31.0	3.33	3.26	1.09	7.18	3.34	3.34
64972	36.0	36.0	44.0	33.0	36.0	30.0	3.33	3.26	1.18	8.4	3.34	3.34
64975	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.18	8.4	3.34	3.34
64978	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.18	8.4	3.34	3.34
64981	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.18	8.4	3.34	3.34
64984	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64987	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64991	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64994	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
64997	31.0	31.0	40.0	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65000	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65003	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65006	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65009	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65012	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65015	31.0	31.0	40.5	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65018	31.0	31.0	40.0	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65021	31.0	31.0	40.5	33.0	33.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65024	31.0	31.0	40.5	33.0	32.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
65027	31.0	31.0	40.0	33.0	31.0	30.0	3.33	3.26	1.09	7.18	3.34	3.34
