Unique ID, Manufacturer, Chemistry, Voltage (Volts)
43352 2009/09/19Hewlett-PackardPrimary, Hewlett-Packard, Lithium Ion, 10.63

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2011-07-01, 15:58:13, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:58:14, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:58:15, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:58:16, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:58:17, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:58:18, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:58:19, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:58:20, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:58:21, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:58:22, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:58:23, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:58:24, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:58:25, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:58:26, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:58:27, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:58:28, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:58:29, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:58:30, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:58:31, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:58:32, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:58:33, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:58:34, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:58:35, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:58:36, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:58:37, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:58:38, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:58:39, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:58:40, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:58:41, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:58:42, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:58:43, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:58:44, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
2011-07-01, 15:58:45, OK, 100%, 0.00, -1, 0, , 12.51, 0, 100.0%, , , , , , , , , , , , 
