"(PDH-CSV 4.0) (India Standard Time)(-330)","\\LAB2-PC15\Processor Information(_Total)\% Processor Time","\\LAB2-PC15\Processor(_Total)\% C3 Time","\\LAB2-PC15\Processor(_Total)\% Idle Time","\\LAB2-PC15\Processor(_Total)\DPC Rate","\\LAB2-PC15\Processor(_Total)\% Interrupt Time","\\LAB2-PC15\Processor(_Total)\% C2 Time","\\LAB2-PC15\Processor(_Total)\% User Time","\\LAB2-PC15\Processor(_Total)\% C1 Time","\\LAB2-PC15\Processor(_Total)\% Processor Time","\\LAB2-PC15\Processor(_Total)\C1 Transitions/sec","\\LAB2-PC15\Processor(_Total)\% DPC Time","\\LAB2-PC15\Processor(_Total)\C2 Transitions/sec","\\LAB2-PC15\Processor(_Total)\% Privileged Time","\\LAB2-PC15\Processor(_Total)\C3 Transitions/sec","\\LAB2-PC15\Processor(_Total)\DPCs Queued/sec","\\LAB2-PC15\Processor(_Total)\Interrupts/sec","\\LAB2-PC15\Memory\Pool Paged Bytes","\\LAB2-PC15\Memory\Free & Zero Page List Bytes","\\LAB2-PC15\Memory\Cache Bytes Peak","\\LAB2-PC15\Memory\System Code Resident Bytes","\\LAB2-PC15\Memory\Available Bytes","\\LAB2-PC15\Memory\Commit Limit","\\LAB2-PC15\Memory\Transition Pages RePurposed/sec","\\LAB2-PC15\Memory\Pages Output/sec","\\LAB2-PC15\Memory\Page Reads/sec","\\LAB2-PC15\Memory\Available KBytes","\\LAB2-PC15\Memory\Demand Zero Faults/sec","\\LAB2-PC15\Memory\Pages/sec","\\LAB2-PC15\Memory\Cache Bytes","\\LAB2-PC15\Memory\Pool Nonpaged Bytes","\\LAB2-PC15\Memory\Page Faults/sec","\\LAB2-PC15\Memory\System Cache Resident Bytes","\\LAB2-PC15\Memory\Transition Faults/sec","\\LAB2-PC15\Memory\Standby Cache Reserve Bytes","\\LAB2-PC15\Memory\Page Writes/sec","\\LAB2-PC15\Memory\System Code Total Bytes","\\LAB2-PC15\Memory\Standby Cache Core Bytes","\\LAB2-PC15\Memory\System Driver Resident Bytes","\\LAB2-PC15\Memory\Standby Cache Normal Priority Bytes","\\LAB2-PC15\Memory\Pool Paged Allocs","\\LAB2-PC15\Memory\Pool Nonpaged Allocs","\\LAB2-PC15\Memory\% Committed Bytes In Use","\\LAB2-PC15\Memory\Available MBytes","\\LAB2-PC15\Memory\Free System Page Table Entries","\\LAB2-PC15\Memory\Modified Page List Bytes","\\LAB2-PC15\Memory\Cache Faults/sec","\\LAB2-PC15\Memory\Committed Bytes","\\LAB2-PC15\Memory\System Driver Total Bytes","\\LAB2-PC15\Memory\Pages Input/sec","\\LAB2-PC15\Memory\Pool Paged Resident Bytes","\\LAB2-PC15\Memory\Write Copies/sec"
"07/01/2011 13:07:52.630","9.5465560331900452","85.541087673697888","90.453443966809957","9","0","0","7.0179446166150159","0","9.5465560331900452","0","0","0","2.3393082075377389","3914.7821651035833","554.9691191909294","2893.8389746640537","202358784","1421312","100171776","11468800","94900224","3311497216","0","0","0","92676","948.94719659854422","0","19087360","41598976","1071.9403527435611","19087360","124.99304486282195","5586944","0","7077888","33550336","4886528","54341632","151821","104334","90.503926547767335","90","33557497","1867776","0","2997035008","6193152","0","81469440","0"
"07/01/2011 13:07:53.631","8.7667899630111012","88.423712886134169","91.233210036988893","0","0","0","4.678626412076377","0","8.7667899630111012","0","0","0","3.8988603418974312","3338.0105136360198","459.00144570369474","2792.0087939100563","202350592","1855488","100171776","11468800","95338496","3311497216","0","0","0","93104","609.00191815588255","0","19083264","41562112","633.00199374823262","19083264","23.000072442668802","5586944","0","7077888","33550336","4886528","54345728","151802","104327","90.448018543645972","90","33557497","1900544","1.0000031496812523","2995183616","6193152","0","81469440","0"
"07/01/2011 13:07:54.630","3.9921456996334537","93.690941766519103","96.007854300366546","1","0","0","2.3416498573951339","0","3.9921456996334537","0","0","0","1.5611032405993919","3135.8555256531104","212.19322420633878","2456.236661331865","202342400","5558272","100171776","11468800","99233792","3311497216","0","0","1.0009114349355603","96908","678.61795288630981","1.0009114349355603","19087360","41484288","785.71547642441476","19087360","105.09570066823383","5586944","0","7077888","33734656","4886528","54353920","151809","104290","90.289323921328034","94","33557497","1900544","1.0009114349355603","2989928448","6193152","1.0009114349355603","81465344","0"
"07/01/2011 13:07:55.630","11.10609817054884","79.622813156053184","88.893901829451167","2","0","4.2714185744276723","2.3393182045386385","0","11.10609817054884","0","0","183.99549258078096","8.5774767569729082","2988.926778934534","587.98559585597388","2921.9284202230542","202342400","4739072","100171776","11468800","98418688","3311497216","0","0","0","96112","3526.9135996326872","0","19083264","41521152","3688.9096311440267","19083264","160.99605600818333","5586944","0","7077888","33734656","4886528","54358016","151757","104290","90.304043064005995","93","33557497","1900544","0.99997550315641826","2990415872","6193152","0","81465344","0"
"07/01/2011 13:07:56.631","0.1893032090372837","97.826232130360893","99.810696790962723","0","0","0","0","0","0.1893032090372837","0","0","0","0","2850.864313017637","51.9975251760495","1959.9067181741736","202342400","5210112","100171776","11468800","98889728","3311497216","0","0","0","96572","166.99205200769745","0","19083264","41512960","204.99024348250285","19083264","37.998191474805402","5586944","0","7077888","33734656","4886528","54358016","151764","104292","90.305032586202856","94","33557497","1900544","0","2990448640","6193152","0","81465344","0"
"07/01/2011 13:07:57.630","11.797671909638318","78.776807398220967","88.202328090361675","15","0","6.265137475774285","7.0249595791933084","0","11.797671909638318","0","0","1444.4012118392711","4.6833097217981754","4444.3114210439107","226.21945521529818","2189.1236661763587","202342400","5406720","100171776","11468800","99078144","3311497216","0","0","0","96756","429.41657649275629","0","19087360","41517056","459.44570771602594","19087360","28.02718914171836","5582848","0","7077888","33734656","4886528","54353920","151766","104289","89.990117147059081","94","33557497","1900544","2.0019420815513111","2980020224","6193152","0","81465344","0"
"07/01/2011 13:07:58.630","51.646855935950285","19.24470793428414","48.353144064049708","0","0.77988442112878875","20.447919618312564","34.315134497067532","7.1812557378996429","51.646855935950285","961.95387912420949","0","5563.7332468265085","17.157567248533766","4236.7968667871883","342.98355565447383","3541.8301869625257","202342400","1507328","100171776","11468800","94945280","3311497216","0","0","19.999041146033459","92720","1737.9166755903077","116.99439070429574","19181568","41488384","2947.8586649253321","19181568","1173.9437152721641","5578752","0","7077888","33538048","4886528","54321152","151969","104359","90.14510106113886","90","33557497","1855488","22.998897317938479","2985152512","6193152","116.99439070429574","81477632","46.997746693178634"
"07/01/2011 13:07:59.630","38.385771422857715","29.015228477152284","61.614238576142391","12","0","16.2992500749925","28.857304269573042","12.93840615938406","38.385761423857609","1848.8822384898219","0","5633.6411745006253","10.918978102189781","5993.6182463537007","340.97828194971839","2179.8611573325106","202342400","1392640","100171776","11468800","94928896","3311497216","0","0","0","92704","218.98605204395403","0","19083264","41484288","246.98426874363764","19083264","26.998280388980636","5578752","0","7077888","33538048","4886528","54419456","151906","104358","90.120610386767126","90","33557497","1855488","0.9999363107029865","2984341504","6193152","0","81477632","0"
"07/01/2011 13:08:00.630","43.065323467653236","32.972012798720129","56.934666533346665","3","0.77993200679932007","12.120177982201779","30.417148285171479","10.72070792920708","43.065333466653335","1528.9143897276072","0","2639.8521837023432","12.478832116788322","8264.5372342044957","390.97810751046069","2521.8587906429202","202342400","1200128","100171776","11468800","94732288","3311497216","0","0","0.99994400897816038","92512","734.95884659894784","0.99994400897816038","19091456","41467904","780.95627101194316","19091456","43.997536395039056","5578752","0","7077888","33538048","4886528","54415360","151916","104356","90.132855723953","90","33557497","1855488","1.9998880179563208","2984747008","6193152","0.99994400897816038","81477632","0"
"07/01/2011 13:08:01.630","39.945625437456258","26.852024797520247","60.054384561543849","7","0","13.271862813718627","34.316788321167884","13.756074392560743","39.945615438456151","1842.8581147308937","0","3563.7256217584945","5.4594940505949401","6519.4980510284468","747.94241444314082","3248.7498723606477","202342400","954368","100171776","11468800","94605312","3311497216","0","0","0","92388","830.93602460193847","0","19087360","41488384","1012.9220131429166","19087360","181.9859885409781","5578752","0","7077888","33644544","4886528","54427648","151904","104358","90.134587387797467","90","33557497","1875968","0.99992301396141814","2984804352","6193152","0","81477632","0"
